Course Code|Course Description|Grade|Pathway or Destination|Enrolment
TSF4T|Construction Tools|Grade 12|College Delivered (Dual Credits)|60
TSK4T|Construction Basics|Grade 12|College Delivered (Dual Credits)|85
TSL4T|Introduction to Construction Trades|Grade 12|College Delivered (Dual Credits)|40
TSM4T|Plumbing Practical|Grade 12|College Delivered (Dual Credits)|100
TSN4T|Home Renovation - Safety|Grade 12|College Delivered (Dual Credits)|25
TSQ4T|Building Construction Techniques|Grade 12|College Delivered (Dual Credits)|100
TSR4T|Hand Tools and Safety of the Construction Industry|Grade 12|College Delivered (Dual Credits)|70
TST4T|Mathematics for Construction|Grade 12|College Delivered (Dual Credits)|20
TSX4T|Construction Health, Safety Awareness|Grade 12|College Delivered (Dual Credits)|120
TSY4Y|Construction Craft Worker|Grade 12|Apprenticeship Program (Dual Credits)|30
TSZ4Y|Brick and Stone Mason|Grade 12|Apprenticeship Program (Dual Credits)|30
TTA3C|Transportation Technology: Auto Service|Grade 11|College Preparation (Grade 11 & 12 level)|1885
TTA4C|Transportation Technology: Auto Service|Grade 12|College Preparation (Grade 11 & 12 level)|860
TTB3C|Transportation Technology: Auto Body|Grade 11|College Preparation (Grade 11 & 12 level)|475
TTB4C|Transportation Technology: Auto Body|Grade 12|College Preparation (Grade 11 & 12 level)|215
TTD4T|Truck and Coach Technician|Grade 12|College Delivered (Dual Credits)|75
TTD4Y|Truck and Coach Technician|Grade 12|Apprenticeship Program (Dual Credits)|85
TTE4T|Automotive Service Technician|Grade 12|College Delivered (Dual Credits)|40
TTE4Y|Automotive Service Technician|Grade 12|Apprenticeship Program (Dual Credits)|235
TTF4T|Auto Body and Collision Damage Repairer|Grade 12|College Delivered (Dual Credits)|15
TTF4Y|Auto Body and Collision Damage Repairer|Grade 12|Apprenticeship Program (Dual Credits)|15
TTG4T|Engine Function and Design|Grade 12|College Delivered (Dual Credits)|40
TTH3C|Transportation Technology: Heavy Duty and Agricultural Equipment|Grade 11|College Preparation (Grade 11 & 12 level)|120
TTH4C|Transportation Technology: Heavy Duty and Agricultural Equipment|Grade 12|College Preparation (Grade 11 & 12 level)|65
TTJ1O|Exploring Transportation Technology|Grade 9|Open (Grade 9 - 12 level)|890
TTJ2O|Transportation Technology|Grade 10|Open (Grade 9 - 12 level)|17975
TTJ3C|Transportation Technology|Grade 11|College Preparation (Grade 11 & 12 level)|18860
TTJ3O|Transportation Technology: Vehicle Ownership|Grade 11|Open (Grade 9 - 12 level)|1890
TTJ4C|Transportation Technology|Grade 12|College Preparation (Grade 11 & 12 level)|6750
TTJ4E|Transportation Technology: Vehicle Maintenance|Grade 12|Workplace Preparation (Grade 11 & 12 level)|1020
TTK4T|Motorcycle and Small Engine|Grade 12|College Delivered (Dual Credits)|40
TTL3C|Transportation Technology: Light Aircraft|Grade 11|College Preparation (Grade 11 & 12 level)|130
TTL4C|Transportation Technology: Light Aircraft|Grade 12|College Preparation (Grade 11 & 12 level)|55
TTM4T|Automotive Basic Skills|Grade 12|College Delivered (Dual Credits)|50
TTN4T|Steering/Suspension/Brakes|Grade 12|College Delivered (Dual Credits)|15
TTO4T|Heavy Duty Equipment Technician|Grade 12|College Delivered (Dual Credits)|75
TTO4Y|Heavy Duty Equipment Technician|Grade 12|Apprenticeship Program (Dual Credits)|25
TTP4T|Technical Practices|Grade 12|College Delivered (Dual Credits)|75
TTS3C|Transportation Technology: Small Engine and Recreational Equipment|Grade 11|College Preparation (Grade 11 & 12 level)|615
TTS4C|Transportation Technology: Small Engine and Recreational Equipment|Grade 12|College Preparation (Grade 11 & 12 level)|165
TTT3C|Transportation Technology: Truck and Coach|Grade 11|College Preparation (Grade 11 & 12 level)|80
TTT4C|Transportation Technology: Truck and Coach|Grade 12|College Preparation (Grade 11 & 12 level)|95
TTW4T|Shop Safety and Aircraft Tools|Grade 12|College Delivered (Dual Credits)|95
TTZ4T|Trade Practices and Applications|Grade 12|College Delivered (Dual Credits)|20
TUA4T|Baking Techniques - Basic|Grade 12|College Delivered (Dual Credits)|65
TUD4Y|Baker|Grade 12|Apprenticeship Program (Dual Credits)|10
TUE4T|Baking and Pastry|Grade 12|College Delivered (Dual Credits)|475
TUF4T|Baking Techniques|Grade 12|College Delivered (Dual Credits)|105
TUI4T|Culinary Techniques|Grade 12|College Delivered (Dual Credits)|215
TUV4T|Techniques culinaires-application|Grade 12|College Delivered (Dual Credits)|<10
TVC4T|Basic Kitchen Production|Grade 12|College Delivered (Dual Credits)|60
TVD4T|Kitchen Production|Grade 12|College Delivered (Dual Credits)|45
TWB4T|Cabinetmaker|Grade 12|College Delivered (Dual Credits)|15
TWC4T|Custom Cabinetry|Grade 12|College Delivered (Dual Credits)|15
TWJ3E|Custom Woodworking|Grade 11|Workplace Preparation (Grade 11 & 12 level)|7070
TWJ4E|Custom Woodworking|Grade 12|Workplace Preparation (Grade 11 & 12 level)|1980
TXA3E|Hairstyling and Aesthetics: Aesthetics|Grade 11|Workplace Preparation (Grade 11 & 12 level)|345
TXA4E|Hairstyling and Aesthetics: Aesthetics|Grade 12|Workplace Preparation (Grade 11 & 12 level)|125
TXC4T|Make-up Artistry and Applications|Grade 12|College Delivered (Dual Credits)|245
TXD4T|Body Treatments|Grade 12|College Delivered (Dual Credits)|30
TXE4T|Hairstyling and Cutting Techniques|Grade 12|College Delivered (Dual Credits)|115
TXF4Y|Hairstylist|Grade 12|Apprenticeship Program (Dual Credits)|60
TXH3E|Hairstyling and Aesthetics: Hairstyling|Grade 11|Workplace Preparation (Grade 11 & 12 level)|785
TXH4E|Hairstyling and Aesthetics: Hairstyling|Grade 12|Workplace Preparation (Grade 11 & 12 level)|315
TXI4T|Make-Up|Grade 12|College Delivered (Dual Credits)|170
TXJ1O|Exploring Hairstyling and Aesthetics|Grade 9|Open (Grade 9 - 12 level)|2105
TXJ2O|Hairstyling and Aesthetics|Grade 10|Open (Grade 9 - 12 level)|9255
TXJ3E|Hairstyling and Aesthetics|Grade 11|Workplace Preparation (Grade 11 & 12 level)|7050
TXJ4E|Hairstyling and Aesthetics|Grade 12|Workplace Preparation (Grade 11 & 12 level)|2035
TXK4T|Manicures|Grade 12|College Delivered (Dual Credits)|260
TXO4T|Nails|Grade 12|College Delivered (Dual Credits)|20
TXU4T|Nail Technology|Grade 12|College Delivered (Dual Credits)|75
TXX4T|Textured Hair Techniques and Hair Additions|Grade 12|College Delivered (Dual Credits)|15
TYA4T|Domestic Animal Science|Grade 12|College Delivered (Dual Credits)|50
TYC4T|Animal Nursing Fundamentals|Grade 12|College Delivered (Dual Credits)|65
TYD4T|Firefighting|Grade 12|College Delivered (Dual Credits)|45
TYE4T|Aviation|Grade 12|College Delivered (Dual Credits)|30
TYF4T|Aircraft Aerodynamics|Grade 12|College Delivered (Dual Credits)|35
TYH4T|Firefighting Equipment|Grade 12|College Delivered (Dual Credits)|15
TZB4Y|Refrigeration and Air Conditioning Systems Mechanics|Grade 12|Apprenticeship Program (Dual Credits)|45
TZD4T|Engines|Grade 12|College Delivered (Dual Credits)|45
TZE4T|Arboriculture/Chainsaw Practices|Grade 12|College Delivered (Dual Credits)|70
TZH4T|General Machining Principles and Practice|Grade 12|College Delivered (Dual Credits)|55
TZP4T|Machine Shop Fundamentals|Grade 12|College Delivered (Dual Credits)|80
TZZ4T|Gas Engines|Grade 12|College Delivered (Dual Credits)|15
